employment_type,age,credit_score,monthly_income,loan_amount,previous_defaults,account_age,loan_enquiries,housing_type,total_expenditure,other_fixed_expenses,gross_revenue,expected_margin,business_rent,utilities_salaries,business_age,gst_registered,business_type,loan_purpose,credit_utilization,payment_history_length,savings_ratio,employment_stability,income_volatility,disposable_income_ratio,dti_ratio,loan_to_income,foir,dscr,expense_to_revenue,rental_burden,defaulted
salaried,26,705,15000,189013,0,0.7,4,owned,8658,3106,0,0.0,0,0,0.0,0,none,personal,0.599,5,0.144,0.6,0.228,0.2157,0.5772,1.0501,0.7843,9.5232,0.0,0.0,0
salaried,35,631,50573,279156,0,4.6,0,owned,34553,10911,0,0.0,0,0,0.0,0,none,gold,0.343,47,0.034,2.2,0.054,0.101,0.6832,0.46,0.899,21.7397,0.0,0.0,0
salaried,39,751,100082,998916,1,5.2,0,rent,47692,15467,0,0.0,0,0,0.0,0,none,vehicle,0.166,59,0.366,1.1,0.124,0.3689,0.4765,0.8317,0.6311,12.0229,0.0,0.107,0
self_employed,43,637,13889,143634,0,5.6,0,owned,6486,1157,60389,23.0,6888,18389,7.9,0,service,business,0.2,74,0.433,7.9,0.319,0.4497,0.467,0.8618,0.5503,11.6037,0.4186,0.1141,0
salaried,50,693,37971,932827,3,1.8,6,rent,26112,7429,0,0.0,0,0,0.0,0,none,home,0.776,22,0.047,2.1,0.114,0.1167,0.6877,2.0472,0.8833,4.8846,0.0,0.1478,1
self_employed,52,600,9690,155891,0,0.5,2,rent,6385,1793,76901,12.6,13272,18364,3.0,0,trading,home,0.684,6,0.084,3.0,0.6,0.156,0.6589,1.3407,0.844,7.4591,0.4114,0.1726,1
self_employed,39,777,16346,191604,0,0.5,4,rent,6638,1416,50607,32.3,8977,13381,3.4,0,service,personal,0.387,17,0.524,3.4,0.419,0.5073,0.4061,0.9768,0.4927,10.2374,0.4418,0.1774,0
salaried,41,658,33810,220939,1,0.9,0,rent,19909,6397,0,0.0,0,0,0.0,0,none,personal,0.887,13,0.178,9.2,0.124,0.2219,0.5888,0.5446,0.7781,18.3634,0.0,0.1277,0
self_employed,35,588,519839,2589632,1,8.4,2,owned,163425,62297,1464335,35.5,268707,270168,1.9,0,service,education,0.409,102,0.584,1.9,0.416,0.5658,0.3144,0.4151,0.4342,24.0886,0.368,0.1835,1
self_employed,35,608,15323,287790,1,3.0,0,owned,8643,1410,140574,10.9,10683,19555,1.2,1,trading,personal,0.197,47,0.45,1.2,0.164,0.3439,0.5641,1.5651,0.6561,6.3892,0.2151,0.076,0
salaried,45,623,98121,1080277,0,0.5,0,owned,61479,6291,0,0.0,0,0,0.0,0,none,personal,0.246,1,0.312,1.7,0.107,0.3093,0.6266,0.9175,0.6907,10.8995,0.0,0.0,0
salaried,36,630,62868,686905,3,3.2,1,rent,30711,14846,0,0.0,0,0,0.0,0,none,personal,0.392,34,0.33,3.6,0.125,0.2754,0.4885,0.9105,0.7246,10.9828,0.0,0.1126,1
self_employed,41,784,59935,1019216,2,1.5,1,rent,39262,6152,169308,35.4,10782,37858,0.5,1,service,personal,0.239,17,0.273,0.5,0.541,0.2423,0.6551,1.4171,0.7577,7.0566,0.2873,0.0637,1
salaried,31,696,40297,238286,1,6.9,0,rent,25757,9769,0,0.0,0,0,0.0,0,none,vehicle,0.491,78,0.076,4.5,0.12,0.1184,0.6392,0.4928,0.8816,20.2934,0.0,0.0703,0
salaried,38,685,165030,813269,0,18.0,1,rent,69889,40412,0,0.0,0,0,0.0,0,none,personal,0.355,218,0.236,1.8,0.213,0.3316,0.4235,0.4107,0.6684,24.3506,0.0,0.0282,0
self_employed,40,798,10079,98044,3,2.2,4,owned,6124,1932,119983,8.4,21562,36382,25.0,1,trading,personal,0.498,16,0.232,25.0,0.567,0.2007,0.6076,0.8106,0.7993,12.3361,0.4829,0.1797,0
self_employed,33,736,26594,502501,0,3.9,0,rent,12632,4936,279940,9.5,19723,29012,1.7,1,trading,personal,0.167,47,0.349,1.7,0.344,0.3394,0.475,1.5746,0.6606,6.3508,0.1741,0.0705,0
salaried,42,706,25237,235847,0,11.9,5,owned,17386,1468,0,0.0,0,0,0.0,0,none,personal,0.223,130,0.213,3.0,0.151,0.2529,0.6889,0.7788,0.7471,12.8407,0.0,0.0,1
salaried,26,837,30457,226410,1,0.5,2,owned,10575,4640,0,0.0,0,0,0.0,0,none,education,0.279,4,0.452,4.1,0.148,0.5004,0.3472,0.6195,0.4996,16.1426,0.0,0.0,0
salaried,28,607,26456,326793,0,1.9,0,rent,15870,3207,0,0.0,0,0,0.0,0,none,education,0.58,32,0.285,4.7,0.281,0.2789,0.5999,1.0294,0.7211,9.7148,0.0,0.0191,1
salaried,33,649,32224,451507,0,1.3,4,owned,12452,3697,0,0.0,0,0,0.0,0,none,gold,0.341,17,0.362,6.0,0.211,0.4989,0.3864,1.1676,0.5011,8.5644,0.0,0.0,0
salaried,32,588,55420,624594,0,2.6,0,owned,27433,12102,0,0.0,0,0,0.0,0,none,gold,0.84,35,0.304,4.3,0.051,0.2866,0.495,0.9392,0.7134,10.6476,0.0,0.0,1
salaried,38,646,44785,646208,0,4.4,1,rent,20530,5239,0,0.0,0,0,0.0,0,none,personal,0.332,48,0.404,1.1,0.03,0.4246,0.4584,1.2024,0.5754,8.3165,0.0,0.136,0
self_employed,53,643,77872,1570843,1,1.1,0,owned,35848,9290,260441,29.9,22859,48552,0.8,1,service,education,0.299,15,0.429,0.8,0.6,0.4204,0.4603,1.681,0.5796,5.9488,0.2742,0.0878,0
salaried,49,727,85521,1966135,1,10.2,0,rent,52696,10200,0,0.0,0,0,0.0,0,none,personal,0.562,116,0.224,12.6,0.162,0.2646,0.6162,1.9158,0.7354,5.2196,0.0,0.0503,0
salaried,32,679,44728,313264,2,2.2,1,rent,18284,9174,0,0.0,0,0,0.0,0,none,vehicle,0.44,29,0.456,0.5,0.103,0.3861,0.4088,0.5836,0.6139,17.1337,0.0,0.1347,0
salaried,25,696,22529,391617,2,0.8,6,owned,15033,2222,0,0.0,0,0,0.0,0,none,home,0.378,15,0.256,0.1,0.284,0.2341,0.6673,1.4486,0.7659,6.9034,0.0,0.0,0
salaried,44,727,69829,810534,0,0.5,0,rent,29362,5448,0,0.0,0,0,0.0,0,none,vehicle,0.404,1,0.5,6.7,0.09,0.5015,0.4205,0.9673,0.4985,10.3382,0.0,0.0828,0
self_employed,32,675,18150,133860,0,1.3,2,owned,9782,2542,50000,36.3,4048,5137,0.6,1,service,vehicle,0.465,7,0.347,0.6,0.431,0.321,0.539,0.6146,0.679,16.2707,0.1837,0.081,0
salaried,41,652,17827,583024,0,3.7,1,owned,12031,3488,0,0.0,0,0,0.0,0,none,vehicle,0.353,39,0.127,2.5,0.121,0.1295,0.6749,2.7254,0.8705,3.6692,0.0,0.0,0
self_employed,31,592,21522,114274,0,3.6,0,owned,8011,2910,93984,22.9,18623,31580,0.5,1,service,education,0.936,41,0.439,0.5,0.421,0.4926,0.3722,0.4425,0.5074,22.6004,0.5342,0.1982,0
self_employed,34,734,8998,156601,1,7.9,0,owned,2776,1630,72561,12.4,13271,18428,1.1,0,trading,business,0.213,88,0.513,1.1,0.6,0.5103,0.3085,1.4503,0.4897,6.895,0.4369,0.1829,0
salaried,29,753,43442,350245,1,9.0,1,rent,25208,10380,0,0.0,0,0,0.0,0,none,home,0.41,112,0.296,1.3,0.117,0.1808,0.5803,0.6719,0.8192,14.884,0.0,0.102,0
self_employed,44,809,16306,229170,0,2.9,0,rent,10689,3153,75842,21.5,10391,9319,8.4,0,manufacturing,home,0.216,43,0.168,8.4,0.33,0.1511,0.6555,1.1712,0.8489,8.5383,0.2599,0.137,1
salaried,51,569,16587,249501,0,5.1,0,owned,8602,3179,0,0.0,0,0,0.0,0,none,education,0.75,62,0.315,2.1,0.4,0.2897,0.5186,1.2535,0.7103,7.9777,0.0,0.0,0
self_employed,29,718,31566,366659,2,8.5,0,rent,19079,4141,98952,31.9,8804,25579,3.1,1,service,education,0.452,104,0.278,3.1,0.414,0.2644,0.6044,0.968,0.7356,10.3309,0.3475,0.089,1
self_employed,36,644,31477,658057,1,1.4,0,rent,19450,4849,164800,19.1,15004,57562,2.2,1,manufacturing,personal,0.369,7,0.284,2.2,0.549,0.228,0.6179,1.7422,0.772,5.74,0.4403,0.091,1
self_employed,33,588,23120,310741,0,11.5,2,owned,13974,3328,84071,27.5,6543,26664,6.0,1,manufacturing,business,0.693,136,0.287,6.0,0.476,0.2516,0.6044,1.12,0.7484,8.9283,0.395,0.0778,1
salaried,46,625,55452,378545,0,0.9,0,rent,32440,10563,0,0.0,0,0,0.0,0,none,education,0.614,6,0.213,1.8,0.297,0.2245,0.585,0.5689,0.7755,17.5785,0.0,0.0721,1
salaried,33,625,54982,606697,0,0.5,1,owned,36205,8771,0,0.0,0,0,0.0,0,none,education,0.701,3,0.248,0.3,0.077,0.182,0.6585,0.9195,0.818,10.875,0.0,0.0,0
salaried,52,597,41505,463822,0,6.2,1,rent,14560,9326,0,0.0,0,0,0.0,0,none,education,0.56,67,0.469,3.4,0.184,0.4245,0.3508,0.9313,0.5755,10.7382,0.0,0.0519,0
salaried,22,798,15000,174972,0,2.0,2,owned,8100,2720,0,0.0,0,0,0.0,0,none,personal,0.538,19,0.334,0.6,0.125,0.2787,0.54,0.9721,0.7213,10.2874,0.0,0.0,1
self_employed,22,658,71778,1261300,0,0.5,1,rent,36784,13673,232292,30.9,41868,35183,0.5,0,service,business,0.706,15,0.293,0.5,0.451,0.297,0.5125,1.4644,0.703,6.829,0.3317,0.1802,1
salaried,21,753,43541,548645,0,1.0,1,owned,30232,8182,0,0.0,0,0,0.0,0,none,education,0.223,5,0.064,1.0,0.064,0.1178,0.6943,1.0501,0.8822,9.5233,0.0,0.0,0
salaried,28,703,21236,149539,4,4.3,0,owned,13844,1086,0,0.0,0,0,0.0,0,none,business,0.442,61,0.225,6.3,0.169,0.2969,0.6519,0.5868,0.7031,17.0412,0.0,0.0,1
salaried,28,628,105581,1970783,0,1.0,2,rent,39550,5664,0,0.0,0,0,0.0,0,none,personal,0.38,25,0.6,6.0,0.01,0.5718,0.3746,1.5555,0.4282,6.4288,0.0,0.0912,0
self_employed,28,657,9869,90010,0,2.7,0,owned,4870,1687,84352,11.7,13189,10689,3.4,0,trading,education,0.72,41,0.339,3.4,0.6,0.3356,0.4935,0.76,0.6644,13.1572,0.2831,0.1564,0
self_employed,36,657,6656,237008,0,1.0,1,rent,2060,974,55009,12.1,4137,15635,7.9,0,trading,education,0.601,16,0.592,7.9,0.263,0.5442,0.3095,2.9673,0.4558,3.37,0.3594,0.0752,0
salaried,34,886,28947,130138,0,14.0,2,rent,13145,5216,0,0.0,0,0,0.0,0,none,home,0.203,169,0.384,2.6,0.176,0.3657,0.4541,0.3746,0.6343,26.692,0.0,0.0102,0
self_employed,25,813,14537,87630,0,2.5,1,owned,7987,921,67932,21.4,13510,22536,3.1,1,service,personal,0.277,24,0.361,3.1,0.31,0.3872,0.5494,0.5023,0.6128,19.9069,0.5306,0.1989,0
self_employed,26,608,20313,226735,0,1.8,5,owned,12513,1944,98609,20.6,17022,19244,8.4,1,service,home,0.154,23,0.251,8.4,0.6,0.2883,0.616,0.9302,0.7117,10.7507,0.3678,0.1726,0
self_employed,27,766,15493,193908,2,0.6,5,owned,5987,2215,140847,11.0,13630,31907,2.3,0,trading,home,0.22,10,0.422,2.3,0.118,0.4706,0.3864,1.043,0.5294,9.5878,0.3233,0.0968,1
self_employed,29,674,26363,240737,0,9.0,2,rent,16635,4219,186970,14.1,34214,39721,0.9,1,manufacturing,vehicle,0.448,108,0.079,0.9,0.6,0.209,0.631,0.761,0.791,13.1411,0.3954,0.183,0
salaried,38,678,52624,366047,0,0.5,1,owned,25693,5312,0,0.0,0,0,0.0,0,none,vehicle,0.587,1,0.406,1.2,0.098,0.4108,0.4882,0.5797,0.5892,17.2516,0.0,0.0,0
self_employed,37,743,79882,1601305,0,3.8,1,owned,32434,4245,245038,32.6,19059,35170,0.5,1,service,personal,0.672,43,0.503,0.5,0.562,0.5408,0.406,1.6705,0.4592,5.9863,0.2213,0.0778,0
salaried,47,786,61951,434736,0,4.1,0,rent,25849,6080,0,0.0,0,0,0.0,0,none,home,0.422,54,0.474,2.8,0.33,0.4846,0.4172,0.5848,0.5154,17.1003,0.0,0.0558,0
self_employed,41,633,4600,177020,1,7.9,5,owned,2927,736,50000,9.2,3488,14075,6.8,0,trading,gold,0.735,100,0.257,6.8,0.509,0.2037,0.6363,3.2069,0.7963,3.1183,0.3513,0.0698,0
self_employed,35,706,12900,196277,0,5.7,1,rent,7718,1037,50000,25.8,8378,11928,0.5,1,service,vehicle,0.509,62,0.315,0.5,0.517,0.3213,0.5983,1.2679,0.6787,7.8868,0.4061,0.1676,0
salaried,40,650,31451,639356,0,20.0,1,rent,19336,5369,0,0.0,0,0,0.0,0,none,vehicle,0.535,250,0.244,0.1,0.071,0.2145,0.6148,1.6941,0.7855,5.903,0.0,0.0963,0
salaried,30,666,49707,374813,1,6.1,3,rent,30241,6301,0,0.0,0,0,0.0,0,none,gold,0.624,72,0.359,1.7,0.176,0.2649,0.6084,0.6284,0.7351,15.9142,0.0,0.0954,1
salaried,36,538,35346,513848,3,1.4,0,owned,16595,7079,0,0.0,0,0,0.0,0,none,personal,0.836,15,0.336,2.0,0.336,0.3302,0.4695,1.2115,0.6698,8.2544,0.0,0.0,1
self_employed,27,612,39934,629671,0,5.7,3,owned,16078,5915,103455,38.6,5984,21177,1.2,1,service,home,0.429,68,0.464,1.2,0.094,0.4493,0.4026,1.314,0.5507,7.6105,0.2625,0.0578,0
self_employed,22,773,15308,375024,0,0.5,0,owned,7932,908,104852,14.6,18611,28022,2.5,1,trading,vehicle,0.411,4,0.425,2.5,0.561,0.4225,0.5182,2.0415,0.5775,4.8982,0.4448,0.1775,0
salaried,34,623,53064,314933,1,1.6,1,owned,25514,11068,0,0.0,0,0,0.0,0,none,vehicle,0.475,22,0.404,12.6,0.215,0.3106,0.4808,0.4946,0.6894,20.2192,0.0,0.0,0
salaried,35,748,22072,477554,0,0.7,3,owned,10174,5448,0,0.0,0,0,0.0,0,none,home,0.678,5,0.364,6.7,0.132,0.2922,0.4609,1.803,0.7078,5.5463,0.0,0.0,1
salaried,32,823,96587,958232,0,8.8,2,rent,57350,13529,0,0.0,0,0,0.0,0,none,personal,0.272,107,0.304,3.7,0.276,0.2662,0.5938,0.8267,0.7338,12.0957,0.0,0.0261,0
salaried,34,778,19780,131450,0,14.0,0,rent,11350,4108,0,0.0,0,0,0.0,0,none,vehicle,0.068,169,0.26,0.8,0.116,0.2185,0.5738,0.5538,0.7815,18.0571,0.0,0.0319,0
salaried,40,543,53647,774473,0,8.0,1,owned,22131,12046,0,0.0,0,0,0.0,0,none,home,0.855,94,0.331,5.9,0.217,0.3629,0.4125,1.203,0.6371,8.3123,0.0,0.0,0
salaried,35,529,46260,776847,0,3.6,0,rent,28168,10445,0,0.0,0,0,0.0,0,none,gold,0.64,48,0.198,6.7,0.318,0.1653,0.6089,1.3994,0.8347,7.1458,0.0,0.1247,0
salaried,46,651,39913,358102,2,3.7,1,owned,26894,4884,0,0.0,0,0,0.0,0,none,education,0.535,44,0.202,0.3,0.021,0.2038,0.6738,0.7477,0.7962,13.3748,0.0,0.0,0
salaried,29,567,28249,161451,0,3.8,0,rent,17036,3735,0,0.0,0,0,0.0,0,none,personal,0.776,41,0.278,2.5,0.18,0.2647,0.6031,0.4763,0.7353,20.9963,0.0,0.1311,0
salaried,31,691,40095,275721,0,1.2,2,rent,20520,2972,0,0.0,0,0,0.0,0,none,education,0.338,9,0.42,1.6,0.124,0.4141,0.5118,0.5731,0.5859,17.4502,0.0,0.089,0
salaried,33,636,60891,524524,0,0.5,0,owned,43921,7565,0,0.0,0,0,0.0,0,none,personal,0.381,8,0.234,1.7,0.05,0.1545,0.7213,0.7178,0.8455,13.9306,0.0,0.0,0
salaried,32,582,31086,304468,2,0.6,0,owned,19955,7548,0,0.0,0,0,0.0,0,none,vehicle,0.659,1,0.11,3.4,0.149,0.1153,0.6419,0.8162,0.8847,12.2519,0.0,0.0,1
salaried,32,659,49512,459840,2,1.4,0,rent,30540,4403,0,0.0,0,0,0.0,0,none,vehicle,0.61,14,0.286,5.3,0.146,0.2943,0.6168,0.774,0.7057,12.9207,0.0,0.1143,1
self_employed,21,739,24170,372024,0,1.0,1,owned,9917,4388,117903,20.5,21281,15641,6.3,0,manufacturing,vehicle,0.425,17,0.427,6.3,0.234,0.4082,0.4103,1.2827,0.5918,7.7963,0.3132,0.1805,0
self_employed,21,780,29114,943646,0,1.0,3,rent,14678,4192,105104,27.7,18608,33977,0.5,1,service,home,0.635,19,0.34,0.5,0.339,0.3519,0.5042,2.701,0.6481,3.7023,0.5003,0.177,1
salaried,43,771,90522,709567,0,1.3,6,owned,54486,11904,0,0.0,0,0,0.0,0,none,business,0.229,20,0.233,4.0,0.198,0.2666,0.6019,0.6532,0.7334,15.3088,0.0,0.0,0
