person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
23,155004,RENT,4.0,MEDICAL,C,1500,13.48,0,0.01,N,3
26,14040,RENT,1.0,DEBTCONSOLIDATION,B,4750,10.25,1,0.34,N,2
22,63000,MORTGAGE,2.0,MEDICAL,A,12000,7.66,0,0.19,N,3
26,96000,MORTGAGE,4.0,VENTURE,B,11625,10.0,0,0.12,N,3
27,54000,RENT,4.0,PERSONAL,D,9600,12.17,1,0.18,Y,9
34,70000,MORTGAGE,16.0,PERSONAL,A,4000,7.74,0,0.06,N,5
22,100000,RENT,3.0,EDUCATION,B,10000,10.65,0,0.1,N,3
23,96000,MORTGAGE,0.0,VENTURE,B,20000,11.11,0,0.21,N,2
26,39900,RENT,1.0,DEBTCONSOLIDATION,B,14000,10.37,1,0.35,N,3
24,49812,RENT,4.0,MEDICAL,A,15000,6.17,0,0.3,N,3
23,62400,RENT,0.0,VENTURE,A,12000,6.91,0,0.19,N,3
28,40000,MORTGAGE,2.0,VENTURE,B,5000,10.99,0,0.13,N,10
36,75000,RENT,12.0,MEDICAL,A,7000,6.92,0,0.09,N,17
26,36000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6350,8.94,0,0.18,N,4
21,19200,OWN,0.0,PERSONAL,B,2400,9.91,0,0.13,N,2
28,43680,RENT,3.0,EDUCATION,C,4475,15.27,0,0.1,N,8
22,42000,RENT,3.0,MEDICAL,C,8400,14.35,0,0.2,N,4
28,18000,OWN,12.0,VENTURE,C,3500,14.22,1,0.19,N,5
26,45000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,1500,7.05,0,0.03,N,2
33,62000,MORTGAGE,3.0,EDUCATION,A,10000,7.88,0,0.16,N,6
25,27024,RENT,7.0,EDUCATION,E,2500,16.69,0,0.09,N,2
27,105000,MORTGAGE,9.0,PERSONAL,A,24000,6.17,0,0.23,N,6
25,90000,MORTGAGE,9.0,PERSONAL,A,10000,5.42,0,0.11,N,2
22,33300,RENT,0.0,MEDICAL,B,13250,10.99,1,0.4,N,3
26,28800,OWN,8.0,EDUCATION,A,6000,8.9,0,0.21,N,3
27,65600,RENT,3.0,EDUCATION,D,6000,15.62,0,0.09,Y,9
38,16500,OWN,1.0,VENTURE,C,2000,13.23,0,0.12,N,11
25,100000,OWN,4.0,MEDICAL,C,15000,11.28,0,0.15,N,4
34,59000,MORTGAGE,1.0,MEDICAL,C,20000,13.48,1,0.34,Y,7
25,49000,RENT,8.0,EDUCATION,C,6000,13.48,0,0.12,Y,2
24,76597,RENT,5.0,PERSONAL,B,22000,9.25,0,0.29,N,4
43,84000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,12000,5.42,0,0.14,N,16
32,104400,MORTGAGE,17.0,DEBTCONSOLIDATION,A,24000,8.9,1,0.23,N,5
25,55000,MORTGAGE,9.0,MEDICAL,A,15000,7.88,0,0.27,N,2
27,52000,MORTGAGE,6.0,PERSONAL,A,11500,7.14,0,0.22,N,9
23,33000,RENT,1.0,DEBTCONSOLIDATION,C,7000,13.61,0,0.21,N,4
30,96300,MORTGAGE,1.0,EDUCATION,C,18000,13.98,0,0.19,N,9
32,65004,RENT,0.0,DEBTCONSOLIDATION,C,13000,12.53,0,0.2,N,6
23,51000,RENT,3.0,EDUCATION,C,12000,12.99,0,0.24,N,3
21,24000,RENT,5.0,EDUCATION,A,10000,7.49,1,0.42,N,2
28,60000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,2500,7.49,0,0.04,N,7
33,81000,MORTGAGE,2.0,VENTURE,B,7500,10.08,0,0.09,N,9
34,58650,MORTGAGE,7.0,MEDICAL,G,12000,20.17,1,0.17,Y,10
38,78000,MORTGAGE,8.0,EDUCATION,A,6250,6.76,0,0.08,N,16
44,28000,RENT,15.0,EDUCATION,A,8000,7.49,0,0.29,N,11
38,43000,RENT,4.0,DEBTCONSOLIDATION,B,3500,11.83,0,0.08,N,12
23,103240,MORTGAGE,0.0,VENTURE,A,4000,7.49,0,0.04,N,3
28,92801,MORTGAGE,12.0,MEDICAL,D,20000,14.74,1,0.18,Y,8
32,30000,RENT,7.0,EDUCATION,B,3000,12.42,0,0.1,N,8
23,83000,RENT,7.0,DEBTCONSOLIDATION,B,9000,10.59,0,0.11,N,4
32,63000,RENT,9.0,DEBTCONSOLIDATION,B,8000,10.74,1,0.13,N,5
22,42200,RENT,6.0,VENTURE,D,12800,15.21,1,0.3,N,2
25,121000,MORTGAGE,6.0,VENTURE,B,13000,10.99,0,0.11,N,2
27,45760,MORTGAGE,0.0,PERSONAL,A,9300,7.49,0,0.2,N,10
32,58000,OWN,3.0,VENTURE,C,8000,13.85,0,0.14,N,10
28,175000,RENT,7.0,HOMEIMPROVEMENT,A,6000,7.9,0,0.03,N,10
23,50000,RENT,6.0,EDUCATION,E,6400,20.2,0,0.13,N,2
23,70000,RENT,1.0,EDUCATION,A,3500,5.42,0,0.05,N,3
22,25500,MORTGAGE,0.0,VENTURE,A,7000,6.99,0,0.27,N,2
29,48504,RENT,0.0,DEBTCONSOLIDATION,C,5000,13.98,0,0.1,Y,5
31,121000,MORTGAGE,2.0,VENTURE,D,12000,16.29,1,0.1,Y,6
26,80400,RENT,6.0,VENTURE,B,7000,10.65,0,0.09,N,2
25,75000,RENT,7.0,VENTURE,D,8800,14.59,0,0.12,N,3
23,50000,RENT,3.0,VENTURE,A,6400,6.91,0,0.13,N,2
28,89250,RENT,0.0,MEDICAL,E,20000,16.77,1,0.19,N,8
23,120000,MORTGAGE,3.0,VENTURE,A,5000,8.9,0,0.04,N,4
21,34368,RENT,0.0,DEBTCONSOLIDATION,C,2500,12.87,0,0.07,Y,2
27,49000,MORTGAGE,0.0,PERSONAL,B,15000,9.76,1,0.31,N,7
30,85000,RENT,2.0,HOMEIMPROVEMENT,C,12000,13.48,0,0.14,N,6
23,39996,OWN,1.0,MEDICAL,B,11000,9.63,0,0.28,N,3
50,36000,RENT,13.0,MEDICAL,B,6000,10.99,0,0.17,N,11
34,85000,RENT,3.0,HOMEIMPROVEMENT,C,10000,12.87,0,0.12,N,7
36,48000,MORTGAGE,6.0,VENTURE,A,1500,8.9,0,0.03,N,16
24,56000,RENT,2.0,VENTURE,B,6650,12.69,0,0.12,N,2
30,17280,MORTGAGE,0.0,PERSONAL,C,2000,13.48,0,0.12,N,7
23,57738,MORTGAGE,7.0,EDUCATION,A,7000,7.14,0,0.12,N,4
32,44808,RENT,5.0,PERSONAL,B,12000,10.99,0,0.27,N,8
41,113000,RENT,1.0,PERSONAL,D,12000,16.0,1,0.11,N,15
23,65000,MORTGAGE,4.0,MEDICAL,A,7000,7.14,0,0.11,N,3
22,41000,MORTGAGE,2.0,EDUCATION,B,3000,12.18,0,0.07,N,4
27,160000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,25000,10.99,0,0.16,N,10
25,80400,MORTGAGE,10.0,VENTURE,D,25000,17.49,0,0.31,Y,4
31,48000,RENT,1.0,MEDICAL,A,6000,6.03,0,0.13,N,6
29,120000,OWN,3.0,EDUCATION,A,7500,7.74,0,0.06,N,8
38,18720,OWN,22.0,VENTURE,B,2500,11.86,0,0.13,N,15
28,120000,OWN,7.0,VENTURE,B,5000,10.65,0,0.04,N,6
29,32400,RENT,11.0,HOMEIMPROVEMENT,A,5800,5.79,1,0.18,N,5
27,115000,MORTGAGE,11.0,VENTURE,B,5000,10.99,0,0.04,N,5
32,37440,OWN,0.0,MEDICAL,D,5000,15.37,0,0.13,N,5
61,90000,RENT,1.0,MEDICAL,A,10000,5.79,0,0.11,N,20
23,33600,RENT,3.0,VENTURE,C,5000,13.49,0,0.15,Y,4
30,34000,RENT,2.0,DEBTCONSOLIDATION,D,1500,14.61,1,0.04,Y,5
27,33000,RENT,2.0,MEDICAL,D,7500,15.65,1,0.23,Y,7
22,100000,MORTGAGE,3.0,VENTURE,B,12000,11.11,0,0.12,N,3
34,52809,RENT,18.0,DEBTCONSOLIDATION,B,13000,10.62,0,0.25,N,8
24,54996,RENT,2.0,PERSONAL,B,23600,11.89,1,0.43,N,3
30,73524,MORTGAGE,2.0,EDUCATION,D,10000,14.74,0,0.14,N,8
22,30000,RENT,3.0,PERSONAL,B,4000,11.49,0,0.13,N,3
28,135996,MORTGAGE,12.0,HOMEIMPROVEMENT,A,12500,8.59,0,0.09,N,6
25,150000,MORTGAGE,7.0,HOMEIMPROVEMENT,B,22000,10.38,0,0.15,N,4
27,75000,MORTGAGE,6.0,MEDICAL,A,10000,5.79,0,0.13,N,7
29,101000,OWN,6.0,HOMEIMPROVEMENT,B,12000,12.18,0,0.12,N,8
24,44000,RENT,0.0,PERSONAL,A,2000,8.0,1,0.05,N,3
23,54000,MORTGAGE,0.0,EDUCATION,B,10000,11.49,0,0.19,N,4
35,66000,RENT,0.0,HOMEIMPROVEMENT,B,18000,9.99,0,0.27,N,8
26,30000,RENT,2.0,DEBTCONSOLIDATION,B,3200,10.99,0,0.11,N,3
22,36000,OWN,2.0,EDUCATION,B,14000,11.26,0,0.39,N,4
35,153660,MORTGAGE,3.0,HOMEIMPROVEMENT,A,24000,7.9,0,0.16,N,10
28,80000,RENT,3.0,HOMEIMPROVEMENT,C,17000,13.85,0,0.21,Y,8
24,31000,RENT,2.0,VENTURE,C,10000,14.65,1,0.32,N,2
37,46996,MORTGAGE,2.0,EDUCATION,C,13750,13.98,0,0.29,N,13
50,56000,RENT,2.0,HOMEIMPROVEMENT,C,15000,13.47,0,0.27,N,15
23,50000,RENT,7.0,MEDICAL,A,10000,7.49,0,0.2,N,2
28,34000,RENT,4.0,PERSONAL,B,3000,10.65,1,0.09,N,10
24,38400,MORTGAGE,7.0,EDUCATION,C,10000,14.72,0,0.26,N,2
25,110000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,8400,12.69,0,0.08,N,4
30,95000,MORTGAGE,6.0,PERSONAL,A,4000,5.99,0,0.04,N,7
27,86004,MORTGAGE,8.0,HOMEIMPROVEMENT,D,16000,14.42,0,0.19,N,6
30,32004,RENT,0.0,DEBTCONSOLIDATION,C,7500,13.47,0,0.23,Y,10
24,46800,MORTGAGE,6.0,DEBTCONSOLIDATION,A,12000,6.99,0,0.26,N,3
22,36000,RENT,3.0,VENTURE,C,15000,13.85,1,0.42,N,3
34,60000,MORTGAGE,6.0,EDUCATION,E,10500,15.68,0,0.17,N,10
37,51000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,12800,12.84,0,0.25,N,12
36,45000,MORTGAGE,2.0,EDUCATION,A,7000,7.14,0,0.16,N,14
32,44400,MORTGAGE,5.0,HOMEIMPROVEMENT,D,6500,14.84,0,0.15,Y,7
